REGION,MINERALS,SITE NAME,DESCRIPTION,lat,lon,COMPANY NAME
Brong Ahafo,Aluminium,Ashanti Aluminium occurrence,ore mineralization has been found at this location.There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location:7.9608°N 1.2058°W,7.9608,-1.2058,
Brong Ahafo,Aluminium,Kibi Aluminium occurrence,Ore mineralization has been found at this location.There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location:7.9608°N 1.2058°W,7.9608,-1.2058,
Brong Ahafo,Aluminium,Nyinahin Aluminum Occurrence,Ore mineralization has been found at this location.There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location:7.9608°N 1.2058°W,7.9608,-1.2058,
Brong Ahafo,Aluminium,Sefwi Hills Aluminum Occurrence,Ore mineralization has been found at this location.There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location:7.9608°N 1.2058°W,7.9608,-1.2058,
Brong Ahafo,Aluminium,Atewa Range,Location: 7.9608°N 1.2058°W,7.9608,-1.2058,
Brong Ahafo,Aluminium,Nyinahin Aluminum Occurrence,Ore mineralization has been found at this location.There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location:7.9608°N 1.2058°W,7.9608,-1.2058,
Brong Ahafo,Aluminium,Kumasi Aluminum Occurrence,Ore mineralization has been found at this location.There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location:7.9608°N 1.2058°W,7.9608,-1.2058,
Brong Ahafo,Diamond,Ghana Consolidated Diamond Mine,"The Ghana Consolidated Diamond Mine is in Brong Ahafo, Ghana. Location:  7.9608°N 1.2058°W",7.9608,-1.2058,Ghana Consolidated Diamond Mine
Brong Ahafo,Gold,Ahafo mine,,7.0261,-2.35106,Newmont Gold Ghana
Brong Ahafo,Gold,State Gold Mining Mine,"The State Gold Mining Mine is in Brong Ahafo, Ghana. Location: 7.9608°N 1.2058°W",7.9608,-1.2058,
